                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.3752,                0.98642,                 1.3763,                0.90664,                0.84356,                0.91384,                0.58801,                  1.331,                0.83383,                 1.2858,             0.00014656,             0.00014656,             0.00014656
                    109,                 1.4477,                 1.0218,                 1.3788,                0.89689,                0.85279,                0.91475,                0.59143,                 1.3311,                0.83226,                 1.2838,             0.00013625,             0.00013625,             0.00013625
                    110,                 1.4459,                0.97178,                 1.3806,                0.89007,                0.85147,                0.91991,                0.59354,                 1.3274,                0.82851,                 1.2792,             0.00012594,             0.00012594,             0.00012594
                    111,                 1.4048,                0.93144,                 1.3723,                0.91284,                 0.8311,                0.91848,                0.59584,                 1.3192,                0.82398,                 1.2739,             0.00011563,             0.00011563,             0.00011563
                    112,                 1.3656,                 0.9798,                 1.3376,                0.91454,                0.82756,                 0.9227,                0.60069,                 1.3015,                0.81482,                  1.265,             0.00010531,             0.00010531,             0.00010531
                    113,                 1.3407,                0.97399,                 1.3623,                0.87604,                0.85455,                 0.9221,                0.59947,                 1.2972,                0.80854,                 1.2632,                9.5e-05,                9.5e-05,                9.5e-05
                    114,                 1.3843,                0.99325,                 1.3282,                0.89234,                0.85562,                0.92031,                0.60433,                 1.2857,                0.79604,                 1.2594,             8.4688e-05,             8.4688e-05,             8.4688e-05
                    115,                 1.4116,                0.99193,                 1.3791,                0.88478,                0.85918,                0.92007,                0.60712,                 1.2829,                0.79228,                 1.2597,             7.4375e-05,             7.4375e-05,             7.4375e-05
                    116,                 1.4236,                0.99664,                 1.3999,                0.88155,                0.86559,                0.91982,                0.60519,                 1.2811,                0.78956,                 1.2603,             6.4062e-05,             6.4062e-05,             6.4062e-05
                    117,                 1.3706,                0.94046,                 1.3348,                0.86452,                0.86771,                0.91881,                0.60679,                 1.2806,                0.78756,                 1.2614,              5.375e-05,              5.375e-05,              5.375e-05
                    118,                 1.4018,                0.99366,                 1.3662,                0.86919,                0.85663,                0.91898,                 0.6028,                 1.2808,                0.78609,                 1.2629,             4.3438e-05,             4.3438e-05,             4.3438e-05
                    119,                 1.3974,                0.95144,                 1.3834,                0.85938,                 0.8512,                0.91419,                0.60263,                 1.2807,                0.78569,                 1.2626,             3.3125e-05,             3.3125e-05,             3.3125e-05
                    120,                 1.3951,                 1.0073,                 1.3707,                0.91196,                0.80878,                0.91409,                0.60384,                 1.2857,                0.78821,                 1.2649,             2.2812e-05,             2.2812e-05,             2.2812e-05
